du-id,nrCellIdentity,ue-id,RF.serving.RSRP
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/B13,Train passenger 3,-111.75091841659273
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/B13,Train passenger 1,-111.74125687862212
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/B13,Train passenger 1,-111.7399005985297
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/N77,Train passenger 2,-108.30013625086052
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/B13,Train passenger 1,-111.727684812544
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1013,c13/N77,Train passenger 2,-108.29694769267223
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/B13,Train passenger 1,-111.72496792595528
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1013,c13/B13,Train passenger 3,-111.72923462174704
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/N77,Train passenger 2,-108.2905671912404
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 1,-111.7195316755216
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1013,c13/B13,Train passenger 3,-111.72516306074324
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1013,c13/B13,Train passenger 1,-111.7127317126073
1013,c13/N77,Train passenger 2,-108.28098796495534
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1013,c13/N77,Train passenger 2,-108.27779262668544
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 1,-111.70728801762728
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/B13,Train passenger 3,-111.71293726420312
1013,c13/B13,Train passenger 1,-111.70456492724573
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/B13,Train passenger 3,-111.7102181535625
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/N77,Train passenger 2,-108.26339957614556
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1013,c13/B13,Train passenger 1,-111.69366426836494
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1013,c13/B13,Train passenger 3,-111.69524827803708
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/N77,Train passenger 2,-108.23775507672693
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1013,c13/N77,Train passenger 2,-108.22972619555809
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 1,-111.6622506832513
1013,c13/N77,Train passenger 2,-108.22008209630197
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/B13,Train passenger 1,-111.65266809350494
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/B13,Train passenger 1,-111.64992832477198
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 1,-111.64718771692864
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/N77,Train passenger 2,-108.20076291613265
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/N77,Train passenger 2,-108.19915111577389
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/N77,Train passenger 2,-108.19592665111328
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1013,c13/B13,Train passenger 3,-111.64744981393744
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1013,c13/B13,Train passenger 1,-111.63896085375768
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/B13,Train passenger 3,-111.64471075919435
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1013,c13/N77,Train passenger 2,-108.18624633848302
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1013,c13/B13,Train passenger 3,-111.63100291850678
1013,c13/B13,Train passenger 1,-111.62110999646788
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1013,c13/B13,Train passenger 1,-111.6197353777289
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1002,c2/B13,Car-1,-115.85200548945336
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/B13,Train passenger 3,-111.62002153585844
1002,c2/B13,Car-1,-115.86604756494214
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1002,c2/B13,Car-1,-115.87540060438236
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/B13,Car-1,-115.88474696814608
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/N77,Train passenger 2,-108.15228324634322
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1013,c13/B13,Train passenger 3,-111.60765138312216
1013,c13/N77,Train passenger 2,-108.14579957284586
1013,c13/B13,Train passenger 3,-111.60490014131176
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1013,c13/B13,Train passenger 3,-111.60077169528692
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/B13,Car-1,-115.94068495543542
1013,c13/B13,Train passenger 3,-111.59664134778896
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/B13,Train passenger 1,-111.58944023258108
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/N77,Train passenger 2,-108.1344419281232
1013,c13/B13,Train passenger 1,-111.58806074141356
1002,c2/B13,Car-1,-115.94998458771884
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/B13,Train passenger 3,-111.58975320520084
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1013,c13/B13,Train passenger 1,-111.58116009526408
1002,c2/B13,Car-1,-115.97784343319866
1013,c13/N77,Train passenger 2,-108.12469542012988
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1002,c2/B13,Car-1,-115.98248073375032
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 3,-111.58285976819748
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1013,c13/B13,Train passenger 3,-111.57872116140616
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1002,c2/B13,Car-1,-116.01026950014224
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1013,c13/B13,Train passenger 1,-111.56734282599716
1003,c3/B13,Waiting passenger 2,-147.24901954659373
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1009,c9/B13,Waiting passenger 4,-150.37982778052697
1013,c13/N77,Train passenger 2,-108.1035418291714
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1013,c13/B13,Train passenger 3,-111.56767553167872
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1002,c2/B13,Car-1,-116.05184005887266
1013,c13/B13,Train passenger 3,-111.56352991131163
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1002,c2/N77,Waiting passenger 3,-147.73780343739182
1013,c13/B13,Train passenger 1,-111.556273637539
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1003,c3/B13,Waiting passenger 1,-148.22971706732744
1002,c2/B13,Car-1,-116.06566689767892
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1013,c13/B13,Train passenger 3,-111.5607650996298
1013,c13/N77,Train passenger 2,-108.09376189747692
1009,c9/N77,Waiting passenger 6,-146.15870288554055
1009,c9/B13,Waiting passenger 10,-147.56363787749666
1010,c10/N77,Waiting passenger 8,-144.80158864270825
1002,c2/B13,Car-1,-116.07947873445706
1009,c9/N77,Waiting passenger 5,-148.08238894918782
1002,c2/N77,Waiting passenger 7,-145.50312219373313
1003,c3/N77,Waiting passenger 9,-147.22098155116302
1002,c2/N77,Waiting passenger 7,-145.50312219373313
